ID,pit,TPS_order,side,length,length_cm,weight,rearing,rearing_side,K,pec_length_left,pec_length_right,pec_mean,pec_div_adj,pec_diff,pec_diff_direction,mouth_length_left,mouth_length_right,mouth_mean,mouth_diff,mouth_diff_direction,eye_width_left,eye_width_right,eye_width_mean,eye_width_diff,eye_width_diff_direction
DSC_0373.JPG,510883,62,left,86,8.6,5.7,wild reared,wild reared_left,1.160163816,1.901712401,1.608079458,1.75489593,0.204057666,0.293632943,0.293632943,0.247958599,0.199737013,0.223847806,0.048221586,0.048221586,0.590892359,0.570065539,0.580478949,0.02082682,0.02082682
DSC_0381.JPG,510369,63,left,86,8.6,5.3,wild reared,wild reared_left,1.078748811,1.843616597,1.498285562,1.67095108,0.194296637,0.345331035,0.345331035,0.272891054,0.221519288,0.247205171,0.051371766,0.051371766,0.542911176,0.556520131,0.549715653,0.013608955,-0.013608955
DSC_0385.JPG,624750,64,left,86,8.6,6.5,semi-natural,semi-natural_left,1.322993825,1.634290394,1.612256267,1.62327333,0.188752713,0.022034127,0.022034127,0.258955689,0.21183843,0.235397059,0.04711726,0.047117259,0.506808509,0.479266372,0.49303744,0.027542138,0.027542137
DSC_0390.JPG,624759,65,left,97,9.7,7.9,semi-natural,semi-natural_left,1.136905838,1.62927392,1.570510534,1.599892227,0.164937343,0.058763386,0.058763386,0.299370302,0.192436349,0.245903325,0.106933952,0.106933953,0.557233297,0.499608744,0.528421021,0.057624553,0.057624553
DSC_0394.JPG,624755,66,left,100,10,9.5,semi-natural,semi-natural_left,1.252343902,1.895270698,1.542139359,1.718705028,0.171870503,0.353131339,0.353131339,0.330613125,0.208765747,0.269689436,0.121847378,0.121847378,0.575718333,0.57415775,0.574938042,0.001560583,0.001560583
DSC_0398.JPG,624754,67,left,83,8.3,5.2,semi-natural,semi-natural_left,1.172353104,1.551951775,1.597961428,1.574956602,0.189753807,0.046009653,-0.046009653,0.247478937,0.195002281,0.221240609,0.052476656,0.052476656,0.5230486,0.535536841,0.529292721,0.012488241,-0.012488241
DSC_0402.JPG,624758,68,left,81,8.1,5.1,semi-natural,semi-natural_left,1.233483436,1.534801875,1.494535304,1.51466859,0.186996122,0.040266571,0.040266571,0.289626963,0.21407918,0.251853072,0.075547782,0.075547783,0.547610129,0.582921401,0.565265765,0.035311272,-0.035311272
DSC_0405.JPG,624762,69,left,88,8.8,5.9,semi-natural,semi-natural_left,1.123936864,1.707759331,1.539006398,1.623382865,0.184475326,0.168752933,0.168752933,0.242169649,0.15452917,0.198349409,0.087640478,0.087640479,0.558226032,0.514557622,0.536391827,0.04366841,0.04366841
DSC_0408.JPG,624756,70,left,102,10.2,9.7,semi-natural,semi-natural_left,1.207822845,1.820742492,1.515809464,1.668275978,0.163556468,0.304933028,0.304933028,0.311319509,0.207260291,0.2592899,0.104059218,0.104059218,0.572423893,0.494448309,0.533436101,0.077975584,0.077975584
DSC_0411.JPG,624764,71,left,84,8.4,5.4,semi-natural,semi-natural_left,1.176168153,1.641154702,1.512142115,1.576648409,0.187696239,0.129012587,0.129012587,0.241827248,0.251944233,0.246885741,0.010116984,-0.010116985,0.50720269,0.527682598,0.517442644,0.020479908,-0.020479908
DSC_0415.JPG,624767,72,left,86,8.6,5.7,semi-natural,semi-natural_left,1.160163816,1.62983274,1.504651772,1.567242256,0.182237472,0.125180968,0.125180968,0.250298735,0.295374009,0.272836372,0.045075274,-0.045075274,0.531791592,0.549970334,0.540880963,0.018178743,-0.018178742
DSC_0418.JPG,624751,73,left,85,8.5,5.7,semi-natural,semi-natural_left,1.199909107,1.707828787,1.452876262,1.580352524,0.185923826,0.254952525,0.254952525,0.254042204,0.214334437,0.234188321,0.039707767,0.039707767,0.522140693,0.582622871,0.552381782,0.060482178,-0.060482178
DSC_0421.JPG,624766,74,left,81,8.1,5.8,semi-natural,semi-natural_left,1.402785084,1.537160683,1.504539447,1.520850065,0.187759267,0.032621236,0.032621236,0.190214303,0.187411307,0.188812805,0.002802996,0.002802996,0.539930554,0.500125835,0.520028194,0.039804719,0.039804719
DSC_0424.JPG,624752,75,left,82,8.2,4.7,semi-natural,semi-natural_left,1.097271156,1.654398628,1.300565682,1.477482155,0.180180751,0.353832946,0.353832946,0.233629505,0.20377749,0.218703497,0.029852015,0.029852015,0.502439248,0.568633738,0.535536493,0.066194489,-0.06619449
DSC_0428.JPG,624768,76,left,84,8.4,5.4,semi-natural,semi-natural_left,1.176168153,1.626402929,1.412375079,1.519389004,0.180879643,0.21402785,0.21402785,0.247737381,0.213381473,0.230559427,0.034355908,0.034355908,0.512789333,0.43609535,0.474442341,0.076693983,0.076693983
DSC_0431.JPG,624760,77,left,80,8,4.8,semi-natural,semi-natural_left,1.203211779,1.559328916,1.428990943,1.49415993,0.186769991,0.130337973,0.130337973,0.255613194,0.227037895,0.241325544,0.028575299,0.028575299,0.537853775,0.510455022,0.524154399,0.027398753,0.027398753
DSC_0434.JPG,624761,78,left,89,8.9,7,semi-natural,semi-natural_left,1.290787708,1.638024,1.457252338,1.547638169,0.173891929,0.180771662,0.180771662,0.332268892,0.213381473,0.272825183,0.118887418,0.118887419,0.509677214,0.518186701,0.513931957,0.008509487,-0.008509487
DSC_0437.JPG,624786,79,left,79,7.9,5,semi-natural,semi-natural_left,1.29958288,1.578738868,1.378189248,1.478464058,0.187147349,0.20054962,0.20054962,0.230800438,0.202406884,0.216603661,0.028393555,0.028393554,0.515625585,0.483109159,0.499367372,0.032516427,0.032516426
DSC_0440.JPG,624967,80,left,78,7.8,3.9,semi-natural,semi-natural_left,1.051555384,1.430331442,1.601953631,1.516142537,0.194377248,0.171622189,-0.171622189,0.20423,0.221788394,0.213009197,0.017558394,-0.017558394,0.50039741,0.536343743,0.518370576,0.035946333,-0.035946333
DSC_0443.JPG,624892,81,left,72,7.2,3.4,semi-natural,semi-natural_left,1.154413315,1.39412066,1.463022578,1.428571619,0.198412725,0.068901918,-0.068901918,0.207133833,0.171541746,0.189337789,0.035592087,0.035592087,0.503348008,0.552603167,0.527975587,0.049255159,-0.049255159
DSC_0446.JPG,624803,82,left,81,8.1,4.8,semi-natural,semi-natural_left,1.160925586,1.436863036,1.658840615,1.547851826,0.191092818,0.221977579,-0.221977579,0.228129645,0.218673678,0.223401661,0.009455968,0.009455967,0.487816702,0.512786767,0.500301734,0.024970065,-0.024970065
DSC_0449.JPG,624840,83,left,74,7.4,3.6,semi-natural,semi-natural_left,1.129575198,1.374848589,1.722934917,1.548891753,0.209309696,0.348086328,-0.348086328,0.235149342,0.314494957,0.27482215,0.079345615,-0.079345615,0.437016,0.501396401,0.4692062,0.064380401,-0.064380401
DSC_0452.JPG,624980,84,left,77,7.7,3.8,semi-natural,semi-natural_left,1.063384457,1.555085457,1.830370136,1.692727796,0.219834779,0.275284679,-0.275284679,0.237886766,0.249326353,0.24360656,0.011439587,-0.011439587,0.512626284,0.504834588,0.508730436,0.007791696,0.007791696
DSC_0455.JPG,624908,85,left,77,7.7,4.8,semi-natural,semi-natural_left,1.343222472,1.529151233,1.737829374,1.633490304,0.212141598,0.208678141,-0.208678141,0.276099772,0.27764309,0.276871431,0.001543318,-0.001543318,0.528229427,0.540718817,0.534474122,0.012489389,-0.01248939
DSC_0458.JPG,624988,86,left,77,7.7,3.7,semi-natural,semi-natural_left,1.035400655,1.298597602,1.715582619,1.507090111,0.195725988,0.416985017,-0.416985017,0.193630586,0.267540922,0.230585754,0.073910336,-0.073910336,0.446625092,0.495271971,0.470948532,0.04864688,-0.048646879
DSC_0461.JPG,624781,87,left,77,7.7,4.7,semi-natural,semi-natural_left,1.31523867,1.440295191,1.8130737,1.626684445,0.21125772,0.372778509,-0.372778509,0.175895491,0.28111254,0.228504015,0.105217049,-0.105217049,0.482836928,0.476614305,0.479725616,0.006222623,0.006222623
DSC_0464.JPG,624831,88,left,78,7.8,4.3,semi-natural,semi-natural_left,1.159407218,1.455222577,1.58688645,1.521054514,0.195006989,0.131663873,-0.131663873,0.273296456,0.266050431,0.269673444,0.007246025,0.007246025,0.506032761,0.558401552,0.532217156,0.052368791,-0.052368791
DSC_0467.JPG,624984,89,left,81,8.1,4.7,semi-natural,semi-natural_left,1.136739637,1.51962891,1.643484426,1.581556668,0.19525391,0.123855516,-0.123855516,0.220640714,0.20282394,0.211732327,0.017816775,0.017816774,0.529126887,0.522685241,0.525906064,0.006441646,0.006441646
DSC_0470.JPG,624948,90,left,69,6.9,3.5,semi-natural,semi-natural_left,1.343329843,1.32212957,1.785224591,1.55367708,0.225170591,0.463095021,-0.463095021,0.214092318,0.256635607,0.235363963,0.042543288,-0.042543289,0.465694221,0.485735998,0.47571511,0.020041777,-0.020041777
DSC_0473.JPG,624926,91,left,72,7.2,3.8,semi-natural,semi-natural_left,1.290226646,1.421091478,1.799587007,1.610339242,0.223658228,0.378495529,-0.378495529,0.207074829,0.262817255,0.234946042,0.055742426,-0.055742426,0.460571856,0.477604051,0.469087953,0.017032195,-0.017032195
