ID,pit,TPS_order,body_morph_remove,side,length,length_cm,weight,rearing,rearing_side,K,pec_length,mouth_length
DSC_0715_result.JPG,624959,323,,right,73,7.3,3.5,semi-natural,semi-natural_right,1.14208442,1.300565682,0.20377749
DSC_0719_result.JPG,624849,324,,right,100,10,10.8,enriched,enriched_right,1.423717278,1.412375079,0.213381473
DSC_0722_result.JPG,624875,325,,right,102,10.2,10.4,enriched,enriched_right,1.294985318,1.428990943,0.227037895
DSC_0725_result.JPG,624919,326,,right,83,8.3,6.4,standard,standard_right,1.442896128,1.457252338,0.213381473
DSC_0728_result.JPG,624916,327,,right,69,6.9,4.5,enriched,enriched_right,1.72713837,1.378189248,0.202406884
DSC_0731_result.JPG,624824,328,,right,94,9.4,7.6,semi-natural,semi-natural_right,1.197306593,1.601953631,0.221788394
DSC_0739_result.JPG,624799,329,,right,94,9.4,8.8,enriched,enriched_right,1.386355002,1.463022578,0.171541746
DSC_0744_result.JPG,624801,330,,right,87,8.7,6.9,enriched,enriched_right,1.358418674,1.658840615,0.218673678
DSC_0747_result.JPG,624789,331,,right,82,8.2,5.4,semi-natural,semi-natural_right,1.26069452,1.722934917,0.314494957
DSC_0750_result.JPG,624835,332,,right,89,8.9,7.6,standard,standard_right,1.401426654,1.830370136,0.249326353
DSC_0753_result.JPG,624918,333,,right,71,7.1,3.6,semi-natural,semi-natural_right,1.272560552,1.737829374,0.27764309
DSC_0756_result.JPG,624761,334,,right,89,8.9,7,semi-natural,semi-natural_right,1.290787708,1.715582619,0.267540922
DSC_0759_result.JPG,624816,335,,right,83,8.3,5.9,standard,standard_right,1.330169868,1.8130737,0.28111254
DSC_0762_result.JPG,624943,336,,right,87,8.7,7.1,enriched,enriched_right,1.397793129,1.58688645,0.266050431
DSC_0765_result.JPG,624814,337,,right,80,8,5.3,semi-natural,semi-natural_right,1.328546339,1.643484426,0.20282394
DSC_0768_result.JPG,624915,338,,right,80,8,4,semi-natural,semi-natural_right,1.002676482,1.785224591,0.256635607
DSC_0771_result.JPG,624982,339,,right,96,9.6,9.3,enriched,enriched_right,1.378928658,1.799587007,0.262817255
DSC_0774_result.JPG,624993,340,,right,91,9.1,7.4,enriched,enriched_right,1.279948542,1.621123466,0.243945228
DSC_0777_result.JPG,624806,341,,right,81,8.1,5.1,semi-natural,semi-natural_right,1.233483436,1.614708528,0.242124945
DSC_0780_result.JPG,624869,342,,right,84,8.4,6.6,enriched,enriched_right,1.437538854,1.601168405,0.238171534
DSC_0783_result.JPG,624782,343,,right,89,8.9,7.2,enriched,enriched_right,1.327667356,1.696809148,0.26904163
DSC_0786_result.JPG,624864,344,,right,77,7.7,5.3,enriched,enriched_right,1.483141479,1.871259679,0.273730524
DSC_0789_result.JPG,624846,345,,right,76,7.6,4.1,semi-natural,semi-natural_right,1.191353681,1.548752188,0.201792
DSC_0792_result.JPG,624996,346,,right,83,8.3,6.4,enriched,enriched_right,1.442896128,1.567459652,0.216709982
DSC_0796_result.JPG,624829,347,,right,81,8.1,5.3,enriched,enriched_right,1.281855335,1.813043542,0.262306103
DSC_0799_result.JPG,624896,348,,right,77,7.7,5,enriched,enriched_right,1.399190075,1.470799306,0.16588496
DSC_0803_result.JPG,624999,349,,right,82,8.2,6.1,enriched,enriched_right,1.424117883,1.503240491,0.243190136
DSC_0806_result.JPG,624970,350,,right,76,7.6,4.4,enriched,enriched_right,1.278525901,1.613473621,0.201446845
DSC_0809_result.JPG,624992,351,,right,72,7.2,3.4,enriched,enriched_right,1.154413315,1.362679764,0.204459348
DSC_0812_result.JPG,624957,352,,right,79,7.9,6.2,enriched,enriched_right,1.611482771,1.592792494,0.225654375
DSC_0815_result.JPG,624986,353,,right,77,7.7,4,semi-natural,semi-natural_right,1.11935206,1.456853195,0.267243489
DSC_0818_result.JPG,624938,354,,right,74,7.4,3.7,enriched,enriched_right,1.160952287,1.516199643,0.218900871
DSC_0821_result.JPG,624987,355,,right,75,7.5,4.4,enriched,enriched_right,1.328239031,1.410533235,0.178472055
DSC_0824_result.JPG,624897,356,,right,84,8.4,6.3,enriched,enriched_right,1.372196179,1.420828005,0.220123664
DSC_0828_result.JPG,624750,357,,right,86,8.6,6.5,semi-natural,semi-natural_right,1.322993825,1.652514943,0.201224648
DSC_0831_result.JPG,624854,358,,right,84,8.4,5.3,semi-natural,semi-natural_right,1.154387262,1.565673257,0.211462663
DSC_0834_result.JPG,624877,359,,right,85,8.5,6.3,enriched,enriched_right,1.326215329,1.583120013,0.2066839
DSC_0837_result.JPG,624946,360,,right,76,7.6,4.4,enriched,enriched_right,1.278525901,1.462699775,0.186454035
DSC_0840_result.JPG,624797,361,,right,98,9.8,10.1,standard,standard_right,1.41120555,1.453861258,0.191944945
